report_date,overall_cpi,yoy_inflation,core_inflation,non_core_inflation,division_name,weight,division_mom,division_yoy
2024-01-01,138.15,6.9,4.8,13.1,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.8,8.3
2024-01-01,138.15,6.9,4.8,13.1,Clothing and Footwear,2.9914,0.6,3.5
2024-01-01,138.15,6.9,4.8,13.1,Education Services,5.562,1.8,2.8
2024-01-01,138.15,6.9,4.8,13.1,Food and Non-Alcoholic Beverages,32.9094,0.4,7.9
2024-01-01,138.15,6.9,4.8,13.1,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.7,4.0
2024-01-01,138.15,6.9,4.8,13.1,Health,2.9116,0.1,2.4
2024-01-01,138.15,6.9,4.8,13.1,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,1.6,9.7
2024-01-01,138.15,6.9,4.8,13.1,Information and Communication,7.784,0.2,1.3
2024-01-01,138.15,6.9,4.8,13.1,Insurance and Financial Services,2.2423,0.3,1.0
2024-01-01,138.15,6.9,4.8,13.1,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,6.1
2024-01-01,138.15,6.9,4.8,13.1,"Recreation, Sport and Culture",1.7219,1.3,5.4
2024-01-01,138.15,6.9,4.8,13.1,Restaurants and Accommodation Services,8.0991,0.6,4.3
2024-01-01,138.15,6.9,4.8,13.1,Transport,9.6468,-0.9,10.6
2024-02-01,138.34,6.3,5.1,9.9,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,1.1,8.7
2024-02-01,138.34,6.3,5.1,9.9,Clothing and Footwear,2.9914,0.1,3.5
2024-02-01,138.34,6.3,5.1,9.9,Education Services,5.562,0.0,2.4
2024-02-01,138.34,6.3,5.1,9.9,Food and Non-Alcoholic Beverages,32.9094,0.3,6.9
2024-02-01,138.34,6.3,5.1,9.9,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.3,4.0
2024-02-01,138.34,6.3,5.1,9.9,Health,2.9116,0.3,2.6
2024-02-01,138.34,6.3,5.1,9.9,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-0.8,8.4
2024-02-01,138.34,6.3,5.1,9.9,Information and Communication,7.784,0.1,1.3
2024-02-01,138.34,6.3,5.1,9.9,Insurance and Financial Services,2.2423,0.0,1.0
2024-02-01,138.34,6.3,5.1,9.9,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.6,6.1
2024-02-01,138.34,6.3,5.1,9.9,"Recreation, Sport and Culture",1.7219,0.3,5.0
2024-02-01,138.34,6.3,5.1,9.9,Restaurants and Accommodation Services,8.0991,0.3,4.3
2024-02-01,138.34,6.3,5.1,9.9,Transport,9.6468,0.2,10.8
2024-03-01,138.66,5.7,4.8,8.7,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.4,8.5
2024-03-01,138.66,5.7,4.8,8.7,Clothing and Footwear,2.9914,0.2,3.7
2024-03-01,138.66,5.7,4.8,8.7,Education Services,5.562,0.0,2.3
2024-03-01,138.66,5.7,4.8,8.7,Food and Non-Alcoholic Beverages,32.9094,0.5,5.8
2024-03-01,138.66,5.7,4.8,8.7,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.4,4.3
2024-03-01,138.66,5.7,4.8,8.7,Health,2.9116,0.3,2.6
2024-03-01,138.66,5.7,4.8,8.7,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,0.2,8.0
2024-03-01,138.66,5.7,4.8,8.7,Information and Communication,7.784,0.0,1.3
2024-03-01,138.66,5.7,4.8,8.7,Insurance and Financial Services,2.2423,0.0,0.9
2024-03-01,138.66,5.7,4.8,8.7,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.3,6.1
2024-03-01,138.66,5.7,4.8,8.7,"Recreation, Sport and Culture",1.7219,0.1,4.8
2024-03-01,138.66,5.7,4.8,8.7,Restaurants and Accommodation Services,8.0991,0.3,4.5
2024-03-01,138.66,5.7,4.8,8.7,Transport,9.6468,-0.6,9.7
2024-04-01,138.4,5.0,4.3,7.3,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.2,8.3
2024-04-01,138.4,5.0,4.3,7.3,Clothing and Footwear,2.9914,0.2,3.7
2024-04-01,138.4,5.0,4.3,7.3,Education Services,5.562,0.0,2.3
2024-04-01,138.4,5.0,4.3,7.3,Food and Non-Alcoholic Beverages,32.9094,-0.1,5.6
2024-04-01,138.4,5.0,4.3,7.3,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.1,4.4
2024-04-01,138.4,5.0,4.3,7.3,Health,2.9116,0.1,2.7
2024-04-01,138.4,5.0,4.3,7.3,"Housing, Water, Electricity, Gas and Other Fuels",14.6124,-1.3,3.8
2024-04-01,138.4,5.0,4.3,7.3,Information and Communication,7.784,0.1,1.3
2024-04-01,138.4,5.0,4.3,7.3,Insurance and Financial Services,2.2423,0.0,0.9
2024-04-01,138.4,5.0,4.3,7.3,"Personal Care, Social Protection and Miscellaneous Goods and Services",4.4532,0.2,6.0
2024-04-01,138.4,5.0,4.3,7.3,"Recreation, Sport and Culture",1.7219,0.2,4.8
2024-04-01,138.4,5.0,4.3,7.3,Restaurants and Accommodation Services,8.0991,0.2,4.3
2024-04-01,138.4,5.0,4.3,7.3,Transport,9.6468,-0.3,9.2
2024-05-01,139.64,5.0,3.4,9.6,"Alcoholic Beverages, Tobacco and Narcotics",3.3289,0.6,8.0
2024-05-01,139.64,5.0,3.4,9.6,Clothing and Footwear,2.9914,0.3,3.8
2024-05-01,139.64,5.0,3.4,9.6,Education Services,5.562,0.0,2.3
2024-05-01,139.64,5.0,3.4,9.6,Food and Non-Alcoholic Beverages,32.9094,2.0,6.2
2024-05-01,139.64,5.0,3.4,9.6,"Furnishings, Household Equipment and Routine Household Maintenance",3.7372,0.2,4.1
